,category,scientific_name,common_names,conservation_status
1456,Vascular Plant,Carya laciniosa,Shellbark Hickory,
4923,Vascular Plant,Arabis platysperma var. platysperma,Pioneer Rockcress,
1481,Vascular Plant,Bartonia paniculata,Twining Screwstem,
4972,Vascular Plant,Herniaria hirsuta ssp. cinerea,Hairy Rupturewort,
1482,Vascular Plant,Bartonia paniculata ssp. paniculata,Twining Screwstem,
5013,Vascular Plant,Eriogonum incanum,Frosted Buckwheat,
1430,Vascular Plant,Castanea dentata,American Chestnut,
984,Vascular Plant,Vernonia noveboracensis,New York Ironweed,
5025,Vascular Plant,Eriogonum spergulinum var. reddingianum,Redding Buckwheat,
2108,Vascular Plant,Juncus biflorus,Two-Flowered Rush,
4989,Vascular Plant,Silene lemmonii,Lemmon's Catchfly,
1554,Vascular Plant,Collinsonia verticillata,Whorled Horsebalm,
4973,Vascular Plant,Herniaria hirsuta ssp. hirsuta,Hairy Rupturewort,
4550,Bird,Setophaga coronata auduboni,Audubon's Warbler,
1451,Vascular Plant,Carya alba,Mockernut Hickory,
4985,Vascular Plant,Silene bridgesii,Bridges' Catchfly,
1409,Vascular Plant,Wisteria floribunda,Japanese Wisteria,
4983,Vascular Plant,Sagina decumbens ssp. occidentalis,Western Pearlwort,
4979,Vascular Plant,Polycarpon tetraphyllum,Fourleaf Manyseed,
988,Vascular Plant,Campanula divaricata,Southern Harebell,
4965,Vascular Plant,Chenopodium multifidum,Cutleaf Goosefoot,
4927,Vascular Plant,Arabis sparsiflora var. arcuata,Elegant Rockcress,
967,Vascular Plant,Symphyotrichum prenanthoides,Crookedstem Aster,
5020,Vascular Plant,Eriogonum ovalifolium var. nivale,Cushion Buckwheat,
2102,Vascular Plant,Scleria pauciflora,Fewflower Nutrush,
4921,Vascular Plant,Arabis lyallii var. nubigena,Lyall's Rockcress,
1005,Vascular Plant,Myosotis laxa,Bay Forget Me Not,
964,Vascular Plant,Symphyotrichum patens var. patens,Late Purple Aster,
4918,Vascular Plant,Arabis lemmonii var. depauperata,Soldier Rockcress,
5003,Vascular Plant,Lewisia congdonii,Congdon's Lewisia,
5405,Vascular Plant,Clarkia gracilis ssp. albicaulis,Whitestem Clarkia,
4920,Vascular Plant,Arabis lyallii var. lyallii,Lyall's Rockcress,
2131,Vascular Plant,Aegilops cylindrica,Jointed Goatgrass,
4721,Vascular Plant,Balsamorhiza deltoidea,Deltoid Balsamroot,
3593,Vascular Plant,Hydrophyllum capitatum var. capitatum,Ballhead Waterleaf,
2815,Nonvascular Plant,Brachythecium plumosum,Brachythecium Moss,
4764,Vascular Plant,Erigeron peregrinus var. callianthemus,Subalpine Fleabane,
1809,Vascular Plant,Populus deltoides,Eastern Cottonwood,
1441,Vascular Plant,Quercus michauxii,Swamp Chestnut Oak,
44,Mammal,Sylvilagus floridanus,Eastern Cottontail,
1227,Vascular Plant,Valerianella locusta,Lewiston Cornsalad,
5175,Vascular Plant,Lupinus pratensis var. pratensis,Inyo Meadow Lupine,
2816,Nonvascular Plant,Brachythecium rivulare,Brachythecium Moss,
2817,Nonvascular Plant,Brachythecium rutabulum,Brachythecium Moss,
2818,Nonvascular Plant,Brachythecium salebrosum,Brachythecium Moss,
477,Fish,Moxostoma macrolepidotum,Shorthead Redhorse,
3601,Vascular Plant,Arabis hirsuta var. glabrata,Mountain Rockcress,
47,Mammal,Equus caballus,"Feral Horse, Horse",
3606,Vascular Plant,Boechera lemmonii,Lemmon's Rockcress,
2809,Nonvascular Plant,Haplohymenium triste,Haplohymenium Moss,
4761,Vascular Plant,Erigeron foliosus var. hartwegii,Hartweg's Fleabane,
3637,Vascular Plant,Erysimum asperum,Western Wallflower,
5724,Vascular Plant,Ivesia lycopodioides ssp. megalopetala,Clubmoss Mousetail,
2783,Nonvascular Plant,Blindia acuta,Acute Blindia Moss,
2812,Nonvascular Plant,Brachythecium digastrum,Brachythecium Moss,
2782,Nonvascular Plant,Ptychomitrium incurvum,Ptychomitrium Moss,
4104,Vascular Plant,Carex nigricans,Black Alpine Sedge,
2813,Nonvascular Plant,Brachythecium oedipodium,Brachythecium Moss,
61,Mammal,Peromyscus leucopus,White-Footed Mouse,
3644,Vascular Plant,Lepidium densiflorum var. macrocarpum,Bigseed Pepperweed,
2814,Nonvascular Plant,Brachythecium oxycladon,Brachythecium Moss,
1791,Vascular Plant,Hypericum hypericoides ssp. hypericoides,St. Andrew's Cross,
2769,Nonvascular Plant,Physcomitrium pyriforme,Physcomitrium Moss,
48,Mammal,Homo sapiens,"Human, Humans, Man",
4078,Vascular Plant,Carex concinna,Low Northern Sedge,
451,Amphibian,Plethodon aureolus,Tellico Salamander,
5711,Vascular Plant,Rhamnus ilicifolia,Hollyleaf Redberry,
4919,Vascular Plant,Arabis lemmonii var. lemmonii,Lemmon's Rockcress,
576,Vascular Plant,Sagittaria australis,Longbeak Arrowhead,
1829,Vascular Plant,Viola blanda,Sweet White Violet,
4671,Vascular Plant,Triteleia dudleyi,Dudley's Triteleia,
